forme	lemme	catégorie
aux	à le	DETDPIG
cavaliers	cavalier	NCMP
,	,	PCTFAIB
un	un	DETIMS
cheval	cheval	NCMS
blanc	blanc	ADJMS
,	,	PCTFAIB
au	à le	DETDMS
loin	loin	ADV
,	,	PCTFAIB
faisait	faire	VINDI3S
une	un	DETIFS
tache	tache	NCFS
claire	clair	ADJFS
trouant	trouer	VPARPRES
l'	le	DETDMS
ombre	ombre	NCFS
grise	gris	ADJFS
.	.	PCTFORTE
Il	il	PPER3S
y	y	PPER3S
avait	avoir	VINDI3S
,	,	PCTFAIB
de	de	PREP
l'	le	DETDMS
autre	autre	ADJSIG
côté	côté	NCMS
,	,	PCTFAIB
le	le	DETDMS
long	long	NCMS
de	de	PREP
la	le	DETDFS
chaussée	chaussée	NCFS
,	,	PCTFAIB
çà	çà	ADV
et	et	COO
là	là	ADV
,	,	PCTFAIB
des	un	DETDPIG
promeneurs	promeneur	NCMP
attardés	attardé	ADJMP
,	,	PCTFAIB
des	un	DETDPIG
groupes	groupe	NCMP
de	de	PREP
points	point	NCMP
noirs	noir	ADJMP
,	,	PCTFAIB
se	se	PPER3S
dirigeant	diriger	VPARPRES
doucement	doucement	ADV
vers	vers	PREP
Paris	Paris	NPHSIG
.	.	PCTFORTE
Et	et	COO
,	,	PCTFAIB
tout	tout	ADV
en	en	PREP
haut	haut	NCHMS
,	,	PCTFAIB
au	à le	DETDMS
bout	bout	NCMS
de	de	PREP
la	le	DETDFS
traînée	traîné	NCFS
grouillante	grouillant	ADJFS
et	et	COO
confuse	confus	ADJFS
des	un	DETDPIG
voitures	voiture	NCFP
,	,	PCTFAIB
l'	le	DETDMS
Arc	arc	NCSIG
de	de	PREP
Triomphe	triomphe	NCMS
,	,	PCTFAIB
posé	posé	ADJMS
de	de	PREP
biais	biais	ADJMIN
,	,	PCTFAIB
blanchissait	blanchir	VINDI3S
sur	sur	PREP
un	un	DETIMS
vaste	vaste	ADJSIG
pan	pan	NCMS
de	de	PREP
ciel	ciel	NCMS
couleur	couleur	NCFS
de	de	PREP
suie	suie	NCFS
.	.	PCTFORTE
Tandis	tandis	SUB
que	que	SUB
la	le	DETDFS
calèche	calèche	NCFS
remontait	remonter	VINDI3S
d'	de	PREP
un	un	DETIMS
trot	trot	NCMS
plus	plus	ADV
vif	vif	ADJMS
,	,	PCTFAIB
Maxime	Maxime	NPMS
,	,	PCTFAIB
charmé	charmer	VPARPMS
de	de	PREP
l'	le	DETDFS
allure	allure	NCFS
anglaise	anglais	ADJFS
du	de le	DETDMS
paysage	paysage	NCMS
,	,	PCTFAIB
regardait	regarder	VINDI3S
,	,	PCTFAIB
aux	à le	DETDPIG
deux	deux	ADJNUM
côtés	côté	NCMP
de	de	PREP
l'	le	DETDFS
avenue	avenue	NCFS
,	,	PCTFAIB
les	le	DETDPIG
hôtels	hôtel	NCMP
,	,	PCTFAIB
d'	de	PREP
architecture	architecture	NCFS
capricieuse	capricieux	ADJFS
,	,	PCTFAIB
dont	dont	PRI
les	le	DETDPIG
pelouses	pelouse	NCFP
descendent	descendre	VINDP3P
jusqu'	jusque	PREP
aux	à le	DETDPIG
contre-allées	contre-allée	NCFP
;	;	PCTFORTE
Renée	Renée	NPFS
,	,	PCTFAIB
dans	dans	PREP
sa	son	DETPOSS
songerie	songerie	NCFS
,	,	PCTFAIB
s'	se	PPER3S
amusait	amuser	VINDI3S
à	à	PREP
voir	voir	VINF
,	,	PCTFAIB
au	à le	DETDMS
bord	bord	NCMS
de	de	PREP
l'	le	DETDMS
horizon	horizon	NCMS
,	,	PCTFAIB
s'	se	PPER3S
allumer	allumer	VINF
un	un	ADJNUM
à	à	PREP
un	un	ADJNUM
les	le	DETDPIG
becs	bec	NCMP
de	de	PREP
gaz	gaz	NCMIN
dela	dela	NCI
place	placer	VINDP3S
de	de	PREP
l'	le	DETDMS
Étoile	étoile	NCSIG
,	,	PCTFAIB
et	et	COO
à	à	PREP
mesure	mesure	NCFS
que	que	SUB
ces	ce	DETDEM
lueurs	lueur	NCFP
vives	vive	NCFP
tachaient	tacher	VINDI3P
le	le	DETDMS
jour	jour	NCMS
mourant	mourir	VPARPRES
de	de	PREP
petites	petit	NCFP
flammes	flamme	NCFP
jaunes	jaune	ADJPIG
,	,	PCTFAIB
elle	elle	PPER3S
croyait	croire	VINDI3S
entendre	entendre	VINF
des	un	DETDPIG
appels	appel	NCMP
secrets	secret	ADJMP
,	,	PCTFAIB
il	il	PPER3S
lui	lui	PPER3S
semblait	sembler	VINDI3S
que	que	SUB
le	le	DETDMS
Paris	paris	NCSIG
flamboyant	flamboyant	ADJMS
des	un	DETDPIG
nuits	nuit	NCFP
d'	de	PREP
hiver	hiver	NCMS
s'	se	PPER3S
illuminait	illuminer	VINDI3S
pour	pour	PREP
elle	elle	PPER3S
,	,	PCTFAIB
lui	lui	PPER3S
préparait	préparer	VINDI3S
la	le	DETDFS
jouissance	jouissance	NCFS
inconnue	inconnu	ADJFS
que	que	SUB
rêvait	rêver	VINDI3S
son	son	NCMS
assouvissement	assouvissement	NCMS
.	.	PCTFORTE
La	le	DETDFS
calèche	calèche	NCFS
prit	prendre	VINDPS3S
l'	le	DETDFS
avenue	avenue	NCFS
de	de	PREP
la	le	DETDFS
Reine	reine	NCFS
-Hortense	Hortense	NPFS
,	,	PCTFAIB
et	et	COO
vint	venir	VINDPS3S
s'	se	PPER3S
arrêter	arrêter	VINF
au	à le	DETDMS
bout	bout	NCMS
de	de	PREP
la	le	DETDFS
rue	rue	NCFS
Monceau	monceau	NCMS
,	,	PCTFAIB
à	à	PREP
quelques	quelque	ADJIND
pas	pas	NCMIN
du	de le	DETDMS
boulevard	boulevard	NCMS
Malesherbes	malesherbes	NPHSIG
,	,	PCTFAIB
devant	devant	ADV
un	un	DETIMS
grand	grand	ADJMS
hôtel	hôtel	NCMS
situé	situé	ADJMS
entre	entre	PREP
cour	cour	NCFS
et	et	COO
jardin	jardin	NCMS
.	.	PCTFORTE
Les	le	DETDPIG
deux	deux	NCI
grilles	grille	NCFP
chargées	charger	VPARPFP
d'	de	PREP
ornements	ornement	NCMP
dorés	doré	ADJMP
,	,	PCTFAIB
qui	qui	PRI
s'	se	PPER3S
ouvraient	ouvrir	VINDI3P
sur	sur	PREP
la	le	DETDFS
cour	cour	NCFS
,	,	PCTFAIB
étaient	être	VINDI3P
chacune	chacun	PIFS
flanquées	flanquer	VPARPFP
d'	de	PREP
une	un	DETIFS
paire	paire	NCFS
de	de	PREP
lanternes	lanterne	NCFP
,	,	PCTFAIB
en	en	PREP
forme	forme	NCFS
d'	de	PREP
urnes	urne	NCFP
également	également	ADV
couvertes	couvrir	VPARPFP
de	de	PREP
dorures	dorure	NCFP
,	,	PCTFAIB
et	et	COO
dans	dans	PREP
lesquelles	lequel	PRI
flambaient	flamber	VINDI3P
de	de	PREP
larges	large	ADJPIG
flammes	flamme	NCFP
de	de	PREP
gaz	gaz	NCMIN
.	.	PCTFORTE
Entre	entre	PREP
les	le	DETDPIG
deux	deux	ADJNUM
grilles	grille	NCFP
,	,	PCTFAIB
le	le	DETDMS
concierge	concierge	NCSIG
habitait	habiter	VINDI3S
un	un	PIMS
élégant	élégant	ADJMS
pavillon	pavillon	NCMS
,	,	PCTFAIB
qui	qui	PRI
rappelait	rappeler	VINDI3S
vaguement	vaguement	ADV
un	un	DETIMS
petit	petit	NCMS
temple	temple	NCMS
grec	grec	ADJMS
.	.	PCTFORTE
Comme	comme	SUB
la	le	DETDFS
voiture	voiture	NCFS
allait	aller	VINDI3S
entrer	entrer	VINF
dans	dans	PREP
la	le	DETDFS
cour	cour	NCFS
,	,	PCTFAIB
Maxime	Maxime	NPMS
sauta	sauter	VINDPS3S
lestement	lestement	ADV
à	à	PREP
terre	terre	NCFS
.	.	PCTFORTE
Tu	tu	PPER2S
sais	savoir	VINDP1S
,	,	PCTFAIB
lui	lui	PPER3S
dit	dire	VINDP3S
Renée	Renée	NPFS
,	,	PCTFAIB
en	en	PREP
le	le	DETDMS
retenant	retenir	VPARPRES
par	par	PREP
la	le	DETDFS
main	main	NCFS
,	,	PCTFAIB
nous	nous	PPER1P
nous	nous	PPER1P
mettons	mettre	VINDP1P
à	à	PREP
table	tabl	NCFS
à	à	PREP
sept	sept	ADJNUM
heures	heure	NCFP
et	et	COO
demie	demi	NCFS
.	.	PCTFORTE
Tu	tu	PPER2S
as	avoir	VINDP2S
plus	plus	ADV
d'	de	PREP
une	un	DETIFS
heure	heure	NCFS
pour	pour	PREP
aller	aller	VINF
t'	te	PPER2S
habiller	habiller	VINF
.	.	PCTFORTE
Ne	ne	ADV
te	te	PPER2S
fais	faire	VIMPP2S
pas	pas	ADV
attendre	attendre	VINF
.	.	PCTFORTE
Et	et	COO
elle	elle	PPER3S
ajouta	ajouter	VINDPS3S
avec	avec	PREP
un	un	DETIMS
sourire	sourire	NCMS
:	:	PCTFORTE
Nous	nous	PPER1P
aurons	avoir	VINDF1P
les	le	DETDPIG
Mareuil	Mareuil	NPHSIG
...	...	PCTFORTE
Ton	ton	DETPOSS
père	père	NCMS
désire	désirer	VINDP3S
que	que	SUB
tu	tu	PPER2S
sois	être	VSUBP2S
très	très	ADV
galant	galer	VPARPRES
avec	avec	PREP
Louise	Louise	NPHSIG
.	.	PCTFORTE
Maxime	Maxime	NPMS
haussa	hausser	VINDPS3S
les	le	DETDPIG
épaules	épaule	NCFP
.	.	PCTFORTE
En	en	PREP
voilà	voilà	PREP
une	un	DETIFS
corvée	corvée	NCFS
!	!	PCTFAIB
murmura	murmurer	VINDPS3S
-t	t	NCFS
-il	il	PPER3S
d'	de	PREP
une	un	PIFS
voix	voix	NCFIN
maussade	maussade	ADJSIG
.	.	PCTFORTE
Je	je	PPER1S
veux	vouloir	VINDP1S
bien	bien	ADV
épouser	épouser	VINF
,	,	PCTFAIB
mais	mais	COO
faire	faire	VINF
sa	son	DETPOSS
cour	cour	NCFS
,	,	PCTFAIB
c'	ce	PDS
est	être	VINDP3S
trop	trop	ADV
bête	bête	ADJSIG
...	...	PCTFORTE
Ah	ah	INT
!	!	PCTFAIB
çà	çà	ADV
,	,	PCTFAIB
tu	tu	PPER2S
serais	être	VCONP2S
gentille	gentil	ADJFS
,	,	PCTFAIB
Renée	Renée	NPFS
,	,	PCTFAIB
si	si	ADV
tu	tu	PPER2S
me	me	PPER1S
délivrais	délivrer	VINDI2S
de	de	PREP
Louise	Louise	NPHSIG
,	,	PCTFAIB
ce	ce	DETDEM
soir	soir	NCMS
.	.	PCTFORTE
Il	il	PPER3S
prit	prendre	VINDPS3S
son	son	DETPOSS
air	air	NCMS
drôle	drôle	ADJSIG
,	,	PCTFAIB
la	le	DETDFS
grimace	grimace	NCFS
et	et	COO
l'	le	DETDMS
accent	accent	NCMS
qu'	que	PRI
il	il	PPER3S
empruntait	emprunter	VINDI3S
à	à	PREP
Lassouchel	Lassouchel	NPI
,	,	PCTFAIB
chaque	chaque	ADJIND
fois	fois	NCFIN
qu'	que	PRI
il	il	PPER3S
allait	aller	VINDI3S
débiter	débiter	VINF
une	un	PIFS
de	de	PREP
ses	son	DETPOSS
plaisanteries	plaisanterie	NCFP
habituelles	habituel	ADJFP
.	.	PCTFORTE
Veux	vouloir	VINDP2S
-tu	tu	PPER2S
,	,	PCTFAIB
belle-maman	belle-maman	NCFS
chérie	chéri	ADJFS
?	?	PCTFORTE
Renée	Renée	NPFS
lui	lui	PPER3S
secoua	secouer	VINDPS3S
la	le	DETDFS
main	main	NCFS
comme	comme	SUB
à	à	PREP
un	un	PIMS
camarade	camarade	NCSIG
.	.	PCTFORTE
Et	et	COO
d'	de	PREP
un	un	DETIMS
ton	ton	NCMS
rapide	rapide	ADJSIG
,	,	PCTFAIB
avec	avec	PREP
une	un	DETIFS
audace	audace	NCFS
nerveuse	nerveux	ADJFS
de	de	PREP
raillerie	raillerie	NCFS
:	:	PCTFORTE
Eh	eh	INT
!	!	PCTFAIB
si	si	ADV
je	je	PPER1S
n'	ne	ADV
avais	avoir	VINDI1S
pas	pas	ADV
épousé	épouser	VPARPMS
ton	ton	DETPOSS
père	père	NCMS
,	,	PCTFAIB
je	je	PPER1S
crois	croire	VIMPP2S
que	que	SUB
tu	tu	PPER2S
me	me	PPER1S
ferais	faire	VCONP2S
la	le	DETDFS
cour	cour	NCFS
.	.	PCTFORTE
Le	le	DETDMS
jeune	jeune	ADJSIG
homme	homme	NCMS
dut	devoir	VINDPS3S
trouver	trouver	VINF
cette	ce	DETDEM
idée	idée	NCFS
très	très	ADV
comique	comique	ADJSIG
,	,	PCTFAIB
car	car	COO
il	il	PPER3S
avait	avoir	VINDI3S
déjà	déjà	ADV
tourné	tourner	VPARPMS
le	le	DETDMS
coin	coin	NCMS
du	de le	DETDMS
boulevard	boulevard	NCMS
Malesherbes	malesherbes	NPHSIG
,	,	PCTFAIB
qu'	que	SUB
il	il	PPER3S
riait	rire	VINDI3S
encore	encore	ADV
.	.	PCTFORTE
La	le	DETDFS
calèche	calèche	NCFS
entra	entrer	VINDPS3S
et	et	COO
vint	venir	VINDPS3S
s'	se	PPER3S
arrêter	arrêter	VINF
devant	devant	PREP
le	le	DETDMS
perron	perron	NCMS
.	.	PCTFORTE
Ce	ce	DETDEM
perron	perron	NCMS
,	,	PCTFAIB
aux	à le	DETDPIG
marches	marche	NCFP
larges	large	ADJPIG
et	et	COO
basses	bas	ADJFP
,	,	PCTFAIB
était	être	VINDI3S
abrité	abriter	VPARPMS
par	par	PREP
une	un	DETIFS
vaste	vaste	ADJSIG
marquise	marquis	NCFS
vitrée	vitré	ADJFS
,	,	PCTFAIB
bordée	border	VPARPFS
d'	de	PREP
un	un	PIMS
lambrequin	lambrequin	NCMS
à	à	PREP
franges	frange	NCFP
et	et	COO
à	à	PREP
glands	gland	NCMP
d'	de	PREP
or	or	NCMS
.	.	PCTFORTE
Les	le	DETDPIG
deux	deux	NCI
étages	étage	NCMP
de	de	PREP
l'	le	DETDMS
hôtel	hôtel	NCMS
s'	se	PPER3S
élevaient	élever	VINDI3P
sur	sur	PREP
des	de le	DETDPIG
offices	office	NCMP
,	,	PCTFAIB
dont	dont	PRI
on	on	PPER3S
apercevait	apercevoir	VINDI3S
,	,	PCTFAIB
presque	presque	ADV
au	à le	DETDMS
ras	ras	NCMIN
du	de le	DETDMS
sol	sol	NCMS
,	,	PCTFAIB
les	le	DETDPIG
soupiraux	soupirail	NCMP
carrés	carré	ADJMP
garnis	garni	ADJMP
de	de	PREP
vitres	vitre	NCFP
dépolies	dépoli	ADJFP
.	.	PCTFORTE
En	en	ADV
haut	haut	ADJHMS
du	du	DETDMS
perron	perron	NCMS
,	,	PCTFAIB
la	le	DETDFS
porte	porte	NCFS
du	de le	DETDMS
vestibule	vestibule	NCMS
avançait	avancer	VINDI3S
,	,	PCTFAIB
flanquée	flanquer	VPARPFS
de	de	PREP
maigres	maigre	ADJPIG
colonnes	colonne	NCFP
prises	prendre	VPARPFP
dans	dans	PREP
le	le	DETDMS
mur	mur	NCMS
,	,	PCTFAIB
formant	former	VPARPRES
ainsi	ainsi	ADV
une	un	DETIFS
sorte	sorte	NCFS
d'	de	PREP
avant-corps	avant-corps	NCMIN
percé	percer	VPARPMS
à	à	PREP
chaque	chaque	ADJIND
étage	étage	NCMS
d'	de	PREP
une	un	DETIFS
baie	baie	NCFS
arrondie	arrondi	ADJFS
,	,	PCTFAIB
et	et	COO
montant	montant	NCMS
jusqu'	jusque	PREP
au	à le	DETDMS
toit	toit	NCMS
,	,	PCTFAIB
où	où	PRI
il	il	PPER3S
se	se	PPER3S
terminait	terminer	VINDI3S
par	par	PREP
un	un	DETIMS
delta	delta	NCMS
.	.	PCTFORTE
De	de	PREP
chaque	chaque	ADJIND
côté	côté	NCMS
,	,	PCTFAIB
les	le	DETDPIG
étages	étage	NCMP
avaient	avoir	VINDI3P
cinq	cinq	ADJNUM
fenêtres	fenêtre	NCFP
,	,	PCTFAIB
régulièrement	régulièrement	ADV
alignées	aligner	VPARPFP
sur	sur	PREP
la	le	DETDFS
façade	façade	NCFS
,	,	PCTFAIB
entourées	entouré	ADJFP
d'	de	PREP
un	un	DETIMS
simple	simple	ADJSIG
cadre	cadre	NCMS
de	de	PREP
pierre	pierre	NCFS
.	.	PCTFORTE
Le	le	DETDMS
toit	toit	NCMS
,	,	PCTFAIB
mansardé	mansardé	ADJMS
,	,	PCTFAIB
était	être	VINDI3S
taillé	tailler	VPARPMS
carrément	carrément	ADV
,	,	PCTFAIB
à	à	PREP
larges	large	ADJPIG
pans	pan	NCMP
presque	presque	ADV
droits	droit	NCMP
.	.	PCTFORTE
Mais	mais	COO
,	,	PCTFAIB
du	du	DETDMS
côté	côté	NCMS
du	de le	DETDMS
jardin	jardin	NCMS
,	,	PCTFAIB
la	le	DETDFS
façade	façade	NCFS
était	être	VINDI3S
autrement	autrement	ADV
somptueuse	somptueux	ADJFS
.	.	PCTFORTE
Un	un	DETIMS
perron	perron	NCMS
royal	royal	ADJMS
conduisait	conduire	VINDI3S
à	à	PREP
une	un	DETIFS
étroite	étroit	ADJFS
terrasse	terrasse	NCFS
qui	qui	PRI
régnait	régner	VINDI3S
tout	tout	ADJMS
le	le	DETDMS
long	long	ADJMS
du	de le	DETDMS
rez-de-chaussée	rez-de-chaussée	NCMIN
;	;	PCTFORTE
la	le	DETDFS
rampe	rampe	NCFS
de	de	PREP
cette	ce	DETDEM
terrasse	terrasse	NCFS
,	,	PCTFAIB
dans	dans	PREP
le	le	DETDMS
style	style	NCMS
des	de le	DETDPIG
grilles	grille	NCFP
du	de le	DETDMS
parc	parc	NCMS
Monceau	monceau	NCMS
,	,	PCTFAIB
était	être	VINDI3S
encore	encore	ADV
plus	plus	ADV
chargée	charger	VPARPFS
d'	de	PREP
or	or	NCMS
que	que	SUB
la	le	DETDFS
marquise	marquis	NCFS
et	et	COO
les	le	DETDPIG
lanternes	lanterne	NCFP
de	de	PREP
la	le	DETDFS
cour	cour	NCFS
.	.	PCTFORTE
Puis	puis	COO
l'	le	DETDMS
hôtel	hôtel	NCMS
se	se	PPER3S
dressait	dresser	VINDI3S
,	,	PCTFAIB
ayant	avoir	VPARPRES
aux	à le	DETDPIG
angles	angle	NCMP
deux	deux	ADJNUM
pavillons	pavillon	NCMP
,	,	PCTFAIB
deux	deux	ADJNUM
sortes	sorte	NCFP
de	de	PREP
tours	tour	NCFP
engagées	engagé	ADJFP
à	à	PREP
demi	demi	ADV
dans	dans	PREP
le	le	DETDMS
corps	corps	NCMIN
du	de le	DETDMS
bâtiment	bâtiment	NCMS
,	,	PCTFAIB
et	et	COO
qui	qui	PRI
ménageaient	ménager	VINDI3P
à	à	PREP
l'	le	DETDMS
intérieur	intérieur	NCMS
des	de le	DETDPIG
pièces	pièce	NCFP
rondes	rond	ADJFP
.	.	PCTFORTE
Au	à le	DETDMS
milieu	milieu	NCMS
,	,	PCTFAIB
une	un	DETIFS
autre	autre	ADJSIG
tourelle	tourelle	NCFS
,	,	PCTFAIB
plus	plus	ADV
enfoncée	enfoncer	VPARPFS
,	,	PCTFAIB
se	se	PPER3S
renflait	renfler	VINDI3S
légèrement	légèrement	ADV
.	.	PCTFORTE
Les	le	DETDPIG
fenêtres	fenêtre	NCFP
,	,	PCTFAIB
hautes	haut	ADJFP
et	et	COO
minces	mince	ADJPIG
pour	pour	PREP
les	le	DETDPIG
pavillons	pavillon	NCMP
,	,	PCTFAIB
espacées	espacé	ADJFP
davantage	davantage	ADV
et	et	COO
presque	presque	ADV
carrées	carrer	VPARPFP
sur	sur	PREP
les	le	DETDPIG
parties	partie	NCFP
plates	plat	ADJFP
de	de	PREP
la	le	DETDFS
façade	façade	NCFS
,	,	PCTFAIB
avaient	avoir	VINDI3P
,	,	PCTFAIB
au	à le	DETDMS
rez-de-chaussée	rez-de-chaussée	NCMIN
,	,	PCTFAIB
des	de le	DETDPIG
balustrades	balustrade	NCFP
de	de	PREP
pierre	pierre	NCFS
,	,	PCTFAIB
et	et	COO
des	un	DETDPIG
rampes	rampe	NCFP
de	de	PREP
fer	fer	NCMS
forgé	forgé	ADJMS
et	et	COO
doré	dorer	VPARPMS
aux	à le	DETDPIG
étages	étage	NCMP
supérieurs	supérieur	ADJMP
.	.	PCTFORTE
C'	ce	PDS
était	être	VINDI3S
un	un	DETIMS
étalage	étalage	NCMS
,	,	PCTFAIB
une	un	DETIFS
profusion	profusion	NCFS
,	,	PCTFAIB
un	un	DETIMS
écrasement	écrasement	NCMS
de	de	PREP
richesses	richesse	NCFP
.	.	PCTFORTE
L'	le	DETDMS
hôtel	hôtel	NCMS
disparaissait	disparaître	VINDI3S
sous	sous	PREP
les	le	DETDPIG
sculptures	sculpture	NCFP
.	.	PCTFORTE
Autour	autour	ADV
des	un	DETDPIG
fenêtres	fenêtre	NCFP
,	,	PCTFAIB
le	le	DETDMS
long	long	NCMS
des	de le	DETDPIG
corniches	corniche	NCFP
,	,	PCTFAIB
couraient	courir	VINDI3P
des	de le	DETDPIG
enroulements	enroulement	NCMP
de	de	PREP
rameaux	rameau	NCMP
et	et	COO
de	de	PREP
fleurs	fleur	NCFP
;	;	PCTFORTE
il	il	PPER3S
y	y	PPER3S
avait	avoir	VINDI3S
des	un	DETDPIG
balcons	balcon	NCMP
pareils	pareil	ADJMP
à	à	PREP
des	de le	DETDPIG
corbeilles	corbeille	NCFP
de	de	PREP
verdure	verdure	NCFS
,	,	PCTFAIB
que	que	PRI
soutenaient	soutenir	VINDI3P
de	de	PREP
grandes	grand	ADJFP
femmes	femme	NCFP
nues	nu	ADJFP
,	,	PCTFAIB
les	le	DETDPIG
hanches	hanche	NCFP
tordues	tordu	ADJFP
,	,	PCTFAIB
les	le	DETDPIG
pointes	pointe	NCFP
des	de le	DETDPIG
seins	sein	NCMP
en	en	PREP
avant	avant	ADV
;	;	PCTFORTE
puis	puis	COO
,	,	PCTFAIB
çà	çà	ADV
et	et	COO
là	là	ADV
,	,	PCTFAIB
étaient	être	VINDI3P
collés	coller	VPARPMP
des	de le	DETDPIG
écussons	écusson	NCMP
de	de	PREP
fantaisie	fantaisie	NCFS
,	,	PCTFAIB
des	un	DETDPIG
grappes	grappe	NCFP
,	,	PCTFAIB
des	un	DETDPIG
roses	rose	NCPIG
,	,	PCTFAIB
toutes	tout	ADJFP
les	le	DETDPIG
efflorescences	efflorescence	NCFP
possibles	possible	ADJPIG
de	de	PREP
la	le	DETDFS
pierre	pierre	NCFS
et	et	COO
du	de le	DETDMS
marbre	marbre	NCMS
.	.	PCTFORTE
À	à	PREP
mesure	mesure	NCFS
que	que	SUB
l'	le	DETDMS
oeil	oeil	NCMS
montait	monter	VINDI3S
,	,	PCTFAIB
l'	le	DETDMS
hôtel	hôtel	NCMS
fleurissait	fleurir	VINDI3S
davantage	davantage	ADV
.	.	PCTFORTE
Autour	Autour	NPMS
du	de le	DETDMS
toit	toit	NCMS
,	,	PCTFAIB
régnait	régner	VINDI3S
une	un	DETIFS
balustrade	balustrade	NCFS
sur	sur	PREP
laquelle	lequel	PRFS
étaient	être	VINDI3P
posées	poser	VPARPFP
,	,	PCTFAIB
de	de	PREP
distance	distance	NCFS
en	en	PREP
distance	distance	NCFS
,	,	PCTFAIB
des	un	DETDPIG
urnes	urne	NCFP
où	où	PRI
des	un	DETDPIG
flammes	flamme	NCFP
de	de	PREP
pierre	pierre	NCFS
flambaient	flamber	VINDI3P
.	.	PCTFORTE
Et	et	COO
là	là	ADV
,	,	PCTFAIB
entre	entre	PREP
les	le	DETDPIG
oeils-de-boeuf	oeils-de-boeuf	NCMP
des	de le	DETDPIG
mansardes	mansarde	NCFP
,	,	PCTFAIB
qui	qui	PRI
s'	se	PPER3S
ouvraient	ouvrir	VINDI3P
dans	dans	PREP
un	un	DETIMS
fouillis	fouillis	NCMIN
incroyable	incroyable	ADJSIG
de	de	PREP
fruits	fruit	NCMP
et	et	COO
de	de	PREP
feuillages	feuillage	NCMP
,	,	PCTFAIB
s'	se	PPER3S
épanouissaient	épanouir	VINDI3P
les	le	DETDPIG
pièces	pièce	NCFP
capitales	capital	ADJFP
de	de	PREP
cette	ce	DETDEM
décoration	décoration	NCFS
étonnante	étonnant	ADJFS
,	,	PCTFAIB
les	le	DETDPIG
frontons	fronton	NCMP
des	de le	DETDPIG
pavillons	pavillon	NCMP
,	,	PCTFAIB
au	à le	DETDMS
milieu	milieu	NCMS
desquels	duquel	PRI
reparaissaient	reparaître	VINDI3P
les	le	DETDPIG
grandes	grand	NCFP
femmes	femme	NCFP
nues	nu	ADJFP
,	,	PCTFAIB
jouant	jouer	VPARPRES
avec	avec	PREP
des	de le	DETDPIG
pommes	pomme	NCFP
,	,	PCTFAIB
prenant	prenant	ADJMS
des	un	DETDPIG
poses	pose	NCFP
,	,	PCTFAIB
parmi	parmi	PREP
des	de le	DETDPIG
poignées	poignée	NCFP
de	de	PREP
joncs	jonc	NCMP
.	.	PCTFORTE
Le	le	DETDMS
toit	toit	NCMS
,	,	PCTFAIB
chargé	charger	VPARPMS
de	de	PREP
ces	ce	DETDEM
ornements	ornement	NCMP
,	,	PCTFAIB
surmonté	surmonter	VPARPMS
encore	encore	ADV
de	de	PREP
galeries	galerie	NCFP
de	de	PREP
plomb	plomb	NCMS
découpées	découpé	ADJFP
,	,	PCTFAIB
de	de	PREP
deux	deux	NCI
paratonnerres	paratonnerre	NCMP
et	et	COO
de	de	PREP
quatre	quatre	NCI
énormes	énorme	ADJPIG
cheminées	cheminée	NCFP
symétriques	symétrique	ADJPIG
,	,	PCTFAIB
sculptées	sculpter	VPARPFP
comme	comme	SUB
le	le	DETDMS
reste	reste	NCMS
,	,	PCTFAIB
semblait	sembler	VINDI3S
être	être	VINF
le	le	DETDMS
bouquet	bouquet	NCMS
de	de	PREP
ce	ce	DETDEM
feu	feu	NCMS
d'	de	PREP
artifice	artifice	NCMS
architectural	architectural	ADJMS
.	.	PCTFORTE
À	à	PREP
droite	droit	ADJFS
,	,	PCTFAIB
se	se	PPER3S
trouvait	trouver	VINDI3S
une	un	DETIFS
vaste	vaste	ADJSIG
serre	serre	NCFS
,	,	PCTFAIB
scellée	sceller	VPARPFS
au	à le	DETDMS
flanc	flanc	NCMS
même	même	ADJSIG
de	de	PREP
l'	le	DETDMS
hôtel	hôtel	NCMS
,	,	PCTFAIB
communiquant	communiquer	VPARPRES
avec	avec	PREP
le	le	DETDMS
rez-de-chaussée	rez-de-chaussée	NCMIN
par	par	PREP
la	le	DETDFS
porte-fenêtre	porte-fenêtre	NCFS
d'	de	PREP
un	un	DETIMS
salon	salon	NCMS
.	.	PCTFORTE
Le	le	DETDMS
jardin	jardin	NCMS
,	,	PCTFAIB
qu'	que	PRI
une	un	DETIFS
grille	grille	NCFS
basse	bas	ADJFS
,	,	PCTFAIB
masquée	masquer	VPARPFS
par	par	PREP
une	un	PIFS
haie	haie	NCHFS
,	,	PCTFAIB
séparait	séparer	VINDI3S
du	du	DETDMS
parc	parc	NCMS
Monceau	monceau	NCMS
,	,	PCTFAIB
avait	avoir	VINDI3S
une	un	DETIFS
pente	pente	NCFS
assez	assez	ADV
forte	fort	ADJFS
.	.	PCTFORTE
Trop	trop	ADV
petit	petit	ADJMS
pour	pour	PREP
l'	le	DETDFS
habitation	habitation	NCFS
,	,	PCTFAIB
si	si	ADV
étroit	étroit	ADJMS
qu'	que	SUB
une	un	DETIFS
pelouse	pelouse	NCFS
et	et	COO
quelques	quelque	ADJIND
massifs	massif	NCMP
d'	de	PREP
arbres	arbre	NCMP
verts	vert	ADJMP
l'	le	PPER3S
emplissaient	emplir	VINDI3P
,	,	PCTFAIB
il	il	PPER3S
était	être	VINDI3S
simplement	simplement	ADV
comme	comme	SUB
une	un	PIFS
butte	butte	NCFS
,	,	PCTFAIB
