forme	lemme	catégorie
d'	de	PREP
énergie	énergie	NCFS
et	et	COO
de	de	PREP
ravissement	ravissement	NCMS
fanatiques	fanatique	ADJPIG
,	,	PCTFAIB
prenaient	prendre	VINDI3P
à	à	PREP
la	le	DETDFS
longue	longue	NCFS
devant	devant	PREP
les	le	DETDPIG
yeux	oeil	NCMP
de	de	PREP
la	le	DETDFS
jeune	jeune	ADJSIG
fille	fille	NCFS
une	un	DETIFS
impétuosité	impétuosité	NCFS
vertigineuse	vertigineux	ADJFS
de	de	PREP
torrent	torrent	NCMS
.	.	PCTFORTE
A	avoir	VINDP3S
certains	certain	ADJIND
moments	moment	NCMP
,	,	PCTFAIB
il	il	PPER3S
lui	lui	PPER3S
semblait	sembler	VINDI3S
qu'	que	SUB
ils	il	PPER3P
ne	ne	ADV
marchaient	marcher	VINDI3P
plus	plus	ADV
,	,	PCTFAIB
qu'	que	ADV
ils	il	PPER3P
étaient	être	VINDI3P
charriés	charrier	VPARPMP
par	par	PREP
la	le	DETDFS
Marseillaise	marseillaise	NCFIN
elle-même	elle-même	PPER3S
,	,	PCTFAIB
par	par	PREP
ce	ce	DETDEM
chant	chant	NCMS
rauque	rauque	ADJSIG
aux	à le	DETDPIG
sonorités	sonorité	NCFP
formidables	formidable	ADJPIG
.	.	PCTFORTE
Elle	elle	PPER3S
ne	ne	ADV
pouvait	pouvoir	VINDI3S
distinguer	distinguer	VINF
les	le	DETDPIG
paroles	parole	NCFP
,	,	PCTFAIB
elle	elle	PPER3S
n'	ne	ADV
entendait	entendre	VINDI3S
qu'	que	ADV
un	un	DETIMS
grondement	grondement	NCMS
continu	continu	ADJMS
,	,	PCTFAIB
allant	aller	VPARPRES
de	de	PREP
notes	note	NCFP
sourdes	sourd	ADJFP
à	à	PREP
des	de le	DETDPIG
notes	note	NCFP
vibrantes	vibrant	ADJFP
,	,	PCTFAIB
aiguës	aigu	ADJFP
comme	comme	SUB
des	un	DETDPIG
pointes	pointe	NCFP
qu'	que	PRI
on	on	PPER3S
aurait	avoir	VCONP3S
,	,	PCTFAIB
par	par	PREP
saccades	saccade	NCFP
,	,	PCTFAIB
enfoncées	enfoncer	VPARPFP
dans	dans	PREP
sa	son	DETPOSS
chair	chair	NCFS
.	.	PCTFORTE
Ce	ce	DETDEM
rugissement	rugissement	NCMS
de	de	PREP
la	le	DETDFS
révolte	révolte	NCFS
,	,	PCTFAIB
cet	ce	DETDEM
appel	appel	NCMS
à	à	PREP
la	le	DETDFS
lutte	lutte	NCFS
et	et	COO
à	à	PREP
la	le	DETDFS
mort	mort	NCFS
,	,	PCTFAIB
avec	avec	PREP
ses	son	DETPOSS
secousses	secousse	NCFP
de	de	PREP
colère	colère	NCFS
,	,	PCTFAIB
ses	son	DETPOSS
désirs	désir	NCMP
brûlants	brûlant	ADJMP
de	de	PREP
liberté	liberté	NCFS
,	,	PCTFAIB
son	son	NCMS
étonnant	révolter	VPARPRES
mélange	mélange	NCMS
de	de	PREP
massacres	massacre	NCMP
et	et	COO
d'	de	PREP
élans	élan	NCMP
sublimes	sublime	ADJPIG
,	,	PCTFAIB
en	en	PREP
la	le	DETDFS
frappant	frapper	VPARPRES
au	à le	DETDMS
coeur	coeur	NCMS
,	,	PCTFAIB
sans	sans	PREP
relâche	relâche	NCSIG
,	,	PCTFAIB
et	et	COO
plus	plus	ADV
profondément	profondément	ADV
à	à	PREP
chaque	chaque	ADJIND
brutalité	brutalité	NCFS
du	de le	DETDMS
rythme	rythme	NCMS
,	,	PCTFAIB
lui	lui	PPER3S
causait	causer	VINDI3S
une	un	PIFS
de	de	PREP
ces	ce	DETDEM
angoisses	angoisse	NCFP
voluptueuses	voluptueux	ADJFP
de	de	PREP
vierge	vierge	ADJSIG
martyre	martyre	NCSIG
se	se	PPER3S
redressant	redresser	VPARPRES
et	et	COO
souriant	sourire	VPARPRES
sous	sous	PREP
le	le	DETDMS
fouet	fouet	NCMS
.	.	PCTFORTE
Et	et	COO
toujours	toujours	ADV
,	,	PCTFAIB
roulée	rouler	VPARPFS
dans	dans	PREP
le	le	DETDMS
flot	flot	NCMS
sonore	sonore	ADJSIG
,	,	PCTFAIB
la	le	DETDFS
foule	foule	NCFS
coulait	couler	VINDI3S
.	.	PCTFORTE
Le	le	DETDMS
défilé	défilé	NCMS
,	,	PCTFAIB
qui	qui	PRI
dura	durer	VINDPS3S
à	à	PREP
peine	peine	NCFS
quelques	quelque	ADJIND
minutes	minute	NCFP
,	,	PCTFAIB
parut	paraître	VINDPS3S
aux	à le	DETDPIG
jeunes	jeune	ADJPIG
gens	gens	NCPIG
ne	ne	ADV
devoir	devoir	VINF
jamais	jamais	ADV
finir	finir	VINF
.	.	PCTFORTE
Certes	certes	ADV
,	,	PCTFAIB
Miette	miette	NCFS
était	être	VINDI3S
une	un	DETIFS
enfant	enfant	NCSIG
.	.	PCTFORTE
Elle	elle	PPER3S
avait	avoir	VINDI3S
pâli	pâlir	VPARPMS
à	à	PREP
l'	le	DETDFS
approche	approche	NCFS
de	de	PREP
la	le	DETDFS
bande	bande	NCFS
,	,	PCTFAIB
elle	elle	PPER3S
avait	avoir	VINDI3S
pleuré	pleurer	VPARPMS
ses	son	DETPOSS
tendresses	tendresse	NCFP
envolées	envoler	VPARPFP
;	;	PCTFORTE
mais	mais	COO
elle	elle	PPER3S
était	être	VINDI3S
une	un	DETIFS
enfant	enfant	NCSIG
de	de	PREP
courage	courage	NCMS
,	,	PCTFAIB
une	un	DETIFS
nature	nature	NCFS
ardente	ardent	ADJFS
que	que	PRI
l'	le	DETDMS
enthousiasme	enthousiasme	NCMS
exaltait	exalter	VINDI3S
aisément	aisément	ADV
.	.	PCTFORTE
Aussi	aussi	ADV
,	,	PCTFAIB
l'	le	DETDFS
émotion	émotion	NCFS
qui	qui	PRI
l'	le	PPER3S
avait	avoir	VINDI3S
peu	peu	ADV
à	à	PREP
peu	peu	ADV
gagnée	gagner	VPARPFS
la	le	PPER3S
secouait	secouer	VINDI3S
-elle	elle	PPER3S
maintenant	maintenant	ADV
tout	tout	ADV
entière	entier	ADJFS
.	.	PCTFORTE
Elle	elle	PPER3S
devenait	devenir	VINDI3S
un	un	DETIMS
garçon	garçon	NCMS
.	.	PCTFORTE
Volontiers	volontiers	ADV
,	,	PCTFAIB
elle	elle	PPER3S
eût	avoir	VSUBI3S
pris	prendre	VPARPMS
une	un	DETIFS
antre	antre	NCMS
et	et	COO
suivi	suivi	NCMS
les	le	DETDPIG
insurgés	insurgé	NCMP
.	.	PCTFORTE
Ses	son	DETPOSS
dents	dent	NCFP
blanches	blanc	ADJFP
,	,	PCTFAIB
à	à	PREP
mesure	mesure	NCFS
que	que	PRI
défilaient	défiler	VINDI3P
les	le	DETDPIG
fusils	fusil	NCMP
et	et	COO
les	le	DETDPIG
faux	faux	NCMIN
,	,	PCTFAIB
se	se	PPER3S
montraient	montrer	VINDI3P
plus	plus	ADV
longues	long	ADJFP
et	et	COO
plus	plus	ADV
aiguës	aigu	ADJFP
,	,	PCTFAIB
entre	entre	PREP
ses	son	DETPOSS
lèvres	lèvre	NCFP
rouges	rouge	ADJPIG
,	,	PCTFAIB
pareilles	pareil	ADJFP
aux	à le	DETDPIG
crocs	croc	NCMP
d'	de	PREP
un	un	DETIMS
jeune	jeune	ADJSIG
loup	loup	NCMS
qui	qui	PRI
aurait	avoir	VCONP3S
des	un	DETDPIG
envies	envie	NCFP
de	de	PREP
mordre	mordre	VINF
.	.	PCTFORTE
Et	et	COO
,	,	PCTFAIB
lorsqu'	lorsque	SUB
elle	elle	PPER3S
entendit	entendre	VINDPS3S
Silvère	Silvère	NPHSIG
dénombrer	dénombrer	VINF
d'	de	PREP
une	un	DETIFS
voix	voix	NCFIN
de	de	PREP
plus	plus	ADV
en	en	ADV
plus	plus	ADV
pressée	pressé	ADJFS
les	le	DETDPIG
contingents	contingent	NCMP
des	de le	DETDPIG
campagnes	campagne	NCFP
,	,	PCTFAIB
il	il	PPER3S
lui	lui	PPER3S
sembla	sembler	VINDPS3S
que	que	SUB
l'	le	DETDMS
élan	élan	NCMS
de	de	PREP
la	le	DETDFS
colonne	colonne	NCFS
s'	se	PPER3S
accélérait	accélérer	VINDI3S
encore	encore	ADV
,	,	PCTFAIB
à	à	PREP
chaque	chaque	ADJIND
parole	parole	NCFS
du	de le	DETDMS
jeune	jeune	ADJSIG
homme	homme	NCMS
.	.	PCTFORTE
Bientôt	bientôt	ADV
ce	ce	PDS
fut	être	VINDPS3S
un	un	DETIMS
emportement	emportement	NCMS
,	,	PCTFAIB
une	un	DETIFS
poussière	poussière	NCFS
d'	de	PREP
hommes	homme	NCMP
balayée	balayer	VPARPFS
par	par	PREP
une	un	DETIFS
tempête	tempête	NCFS
.	.	PCTFORTE
Tout	tout	PIMS
se	se	PPER3S
mit	mettre	VINDPS3S
à	à	PREP
tourner	tourner	VINF
devant	devant	PREP
elle	elle	PPER3S
.	.	PCTFORTE
Elle	elle	PPER3S
ferma	fermer	VINDPS3S
les	le	DETDPIG
yeux	oeil	NCMP
.	.	PCTFORTE
De	de	PREP
grosses	gros	ADJFP
larmes	larme	NCFP
chaudes	chaud	ADJFP
coulaient	couler	VINDI3P
sur	sur	PREP
ses	son	DETPOSS
joues	joue	NCFP
.	.	PCTFORTE
Silvère	Silvère	NPMS
avait	avoir	VINDI3S
,	,	PCTFAIB
lui	lui	PPER3S
aussi	aussi	ADV
,	,	PCTFAIB
des	un	DETDPIG
pleurs	pleur	NCMP
au	à le	DETDMS
bord	bord	NCMS
des	de le	DETDPIG
cils	cils	ADJFS
.	.	PCTFORTE
Je	je	PPER1S
ne	ne	ADV
vois	voir	VINDP1S
pas	pas	ADV
les	le	DETDPIG
hommes	homme	NCMP
qui	qui	PRI
ont	avoir	VINDP3P
quitté	quitter	VPARPMS
Plassans	Plassans	NPI
cet	ce	DETDEM
après-midi	après-midi	NCI
,	,	PCTFAIB
murmura	murmurer	VINDPS3S
-t	t	NCFS
-il	il	PPER3S
.	.	PCTFORTE
Il	il	PPER3S
tâchait	tâcher	VINDI3S
de	de	PREP
distinguer	distinguer	VINF
le	le	DETDMS
bout	bout	NCMS
de	de	PREP
la	le	DETDFS
colonne	colonne	NCFS
,	,	PCTFAIB
qui	qui	PRI
se	se	PPER3S
trouvait	trouver	VINDI3S
encore	encore	ADV
dans	dans	PREP
l'	le	DETDFS
ombre	ombre	NCFS
.	.	PCTFORTE
Puis	puis	COO
il	il	PPER3S
cria	crier	VINDPS3S
avec	avec	PREP
une	un	DETIFS
joie	joie	NCFS
triomphante	triomphant	ADJFS
:	:	PCTFORTE
Ah	ah	INT
!	!	PCTFAIB
les	le	DETDPIG
voici	voici	PREP
!	!	PCTFORTE
Ils	il	PPER3P
ont	avoir	VINDP3P
le	le	DETDMS
drapeau	drapeau	NCMS
,	,	PCTFAIB
on	on	PPER3S
leur	leur	PPER3P
a	avoir	VINDP3S
confié	confier	VPARPMS
le	le	DETDMS
drapeau	drapeau	NCMS
!	!	PCTFORTE
Alors	alors	ADV
il	il	PPER3S
voulut	vouloir	VINDPS3S
sauter	sauter	VINF
du	de le	DETDMS
talus	talus	NCMIN
pour	pour	PREP
aller	aller	VINF
rejoindre	rejoindre	VINF
ses	son	DETPOSS
compagnons	compagnon	NCMP
;	;	PCTFORTE
mais	mais	COO
,	,	PCTFAIB
à	à	PREP
ce	ce	DETDEM
moment	moment	NCMS
,	,	PCTFAIB
les	le	DETDPIG
insurgés	insurgé	NCMP
s'	se	PPER3S
arrêtèrent	arrêter	VINDPS3P
.	.	PCTFORTE
Des	un	DETDPIG
ordres	ordre	NCMP
coururent	courir	VINDPS3P
le	le	DETDMS
long	long	NCMS
de	de	PREP
la	le	DETDFS
colonne	colonne	NCFS
.	.	PCTFORTE
La Marseillaise	La marseillaise	NPMS
s'	se	PPER3S
éteignit	éteindre	VINDPS3S
dans	dans	PREP
un	un	DETIMS
dernier	dernier	ADJMS
grondement	grondement	NCMS
,	,	PCTFAIB
et	et	COO
l'	l	NCMS
on	on	PPER3S
n'	ne	ADV
entendit	entendre	VINDPS3S
plus	plus	ADV
que	que	ADV
le	le	DETDMS
murmure	murmure	NCMS
confus	confus	ADJMIN
de	de	PREP
la	le	DETDFS
foule	foule	NCFS
,	,	PCTFAIB
encore	encore	ADV
toute	tout	ADJFS
vibrante	vibrant	ADJFS
.	.	PCTFORTE
Silvère	Silvère	NPMS
,	,	PCTFAIB
qui	qui	PRI
écoutait	écouter	VINDI3S
,	,	PCTFAIB
put	pouvoir	VINDPS3S
comprendre	comprendre	VINF
les	le	DETDPIG
ordres	ordre	NCMP
que	que	PRI
les	le	DETDPIG
contingents	contingent	NCMP
se	se	PPER3S
transmettaient	transmettre	VINDI3P
et	et	COO
qui	qui	PRI
appelaient	appeler	VINDI3P
les	le	DETDPIG
gens	gens	NCPIG
de	de	PREP
Plassans	Plassans	NPI
en	en	PREP
tête	tête	NCFS
de	de	PREP
la	le	DETDFS
bande	bande	NCFS
.	.	PCTFORTE
Comme	comme	SUB
chaque	chaque	ADJIND
bataillon	bataillon	NCMS
se	se	PPER3S
rangeait	ranger	VINDI3S
au	à le	DETDMS
bord	bord	NCMS
de	de	PREP
la	le	DETDFS
route	route	NCFS
pour	pour	PREP
laisser	laisser	VINF
passer	passer	VINF
le	le	DETDMS
drapeau	drapeau	NCMS
,	,	PCTFAIB
le	le	DETDMS
jeune	jeune	ADJSIG
homme	homme	NCMS
,	,	PCTFAIB
entraînant	entraîner	VPARPRES
Miette	miette	NCFS
,	,	PCTFAIB
se	se	PPER3S
mit	mettre	VINDPS3S
à	à	PREP
remonter	remonter	VINF
le	le	DETDMS
talus	talus	NCMIN
.	.	PCTFORTE
Viens	venir	VIMPP2S
,	,	PCTFAIB
lui	lui	PPER3S
dit	dire	VINDP3S
-il	il	PPER3S
,	,	PCTFAIB
nous	nous	PPER1P
serons	être	VINDF1P
avant	avant	PREP
eux	lui	PPER3P
de	de	PREP
l'	le	DETDMS
autre	autre	ADJSIG
côté	côté	NCMS
du	de le	DETDMS
pont	pont	NCMS
.	.	PCTFORTE
Et	et	COO
quand	quand	SUB
ils	il	PPER3P
furent	être	VINDPS3P
en	en	PREP
haut	haut	NCHMS
,	,	PCTFAIB
dans	dans	PREP
les	le	DETDPIG
terres	terre	NCFP
labourées	labourer	VPARPFP
,	,	PCTFAIB
ils	il	PPER3P
coururent	courir	VINDPS3P
jusqu'	jusque	PREP
à	à	PREP
un	un	DETIMS
moulin	moulin	NCMS
dont	dont	PRI
l'	le	DETDFS
écluse	écluse	NCFS
barre	barrer	VINDP3S
la	le	DETDFS
rivière	rivière	NCFS
.	.	PCTFORTE
Là	là	ADV
,	,	PCTFAIB
ils	il	PPER3P
traversèrent	traverser	VINDPS3P
la	le	DETDFS
Viorne	viorne	NCFS
sur	sur	PREP
une	un	DETIFS
planche	planche	NCFS
que	que	PRI
les	le	DETDPIG
meuniers	meunier	NCMP
y	y	ADV
ont	avoir	VINDP3P
jetée	jeter	VPARPFS
.	.	PCTFORTE
Puis	puis	COO
ils	il	PPER3P
coupèrent	couper	VINDPS3P
en	en	PREP
biais	biais	NCMIN
les	le	DETDPIG
près	près	ADV
Sainte	Sainte	NPHSIG
-Claire	Claire	NPFS
,	,	PCTFAIB
toujours	toujours	ADV
se	se	PPER3S
tenant	tenir	VPARPRES
par	par	PREP
la	le	DETDFS
main	main	NCFS
,	,	PCTFAIB
toujours	toujours	ADV
courant	courant	ADJMS
,	,	PCTFAIB
sans	sans	PREP
échanger	échanger	VINF
une	un	DETIFS
parole	parole	NCFS
.	.	PCTFORTE
La	le	DETDFS
colonne	colonne	NCFS
faisait	faire	VINDI3S
,	,	PCTFAIB
sur	sur	PREP
le	le	DETDMS
grand	grand	ADJMS
chemin	chemin	NCMS
,	,	PCTFAIB
une	un	DETIFS
ligne	ligne	NCFS
sombre	sombre	ADJSIG
qu'	que	SUB
ils	il	PPER3P
suivirent	suivre	VINDPS3P
le	le	DETDMS
long	long	NCMS
des	de le	DETDPIG
haies	haie	NCFP
.	.	PCTFORTE
Il	il	PPER3S
y	y	PPER3S
avait	avoir	VINDI3S
des	un	DETDPIG
trous	trou	NCMP
dans	dans	PREP
les	le	DETDPIG
aubépines	aubépine	NCFP
.	.	PCTFORTE
Silvère	Silvère	NPMS
et	et	COO
Miette	miette	NCFS
sautèrent	sauter	VINDPS3P
sur	sur	PREP
la	le	DETDFS
route	route	NCFS
par	par	PREP
un	un	PIMS
de	de	PREP
ces	ce	DETDEM
trous	trou	NCMP
.	.	PCTFORTE
Malgré	malgré	PREP
le	le	DETDMS
détour	détour	NCMS
qu'	que	PRI
ils	il	PPER3P
venaient	vener	VINDI3P
de	de	PREP
faire	faire	VINF
,	,	PCTFAIB
ils	il	PPER3P
arrivèrent	arriver	VINDPS3P
en	en	PREP
même	même	ADJSIG
temps	temps	NCMIN
que	que	ADV
les	le	DETDPIG
gens	gens	NCPIG
de	de	PREP
Plassans	Plassans	NPI
.	.	PCTFORTE
Silvère	Silvère	NPMS
échangea	échanger	VINDPS3S
quelques	quelque	ADJIND
poignées	poignée	NCFP
de	de	PREP
main	main	NCFS
;	;	PCTFORTE
on	on	PPER3S
dut	devoir	VINDPS3S
penser	penser	VINF
qu'	que	SUB
il	il	PPER3S
avait	avoir	VINDI3S
appris	apprendre	VPARPMS
la	le	DETDFS
marche	marche	NCFS
nouvelle	nouveau	ADJFS
des	de le	DETDPIG
insurgés	insurgé	NCMP
et	et	COO
qu'	que	SUB
il	il	PPER3S
était	être	VINDI3S
venu	venir	VPARPMS
à	à	PREP
leur	leur	DETPOSS
rencontre	rencontre	NCFS
.	.	PCTFORTE
Miette	miette	NCFS
,	,	PCTFAIB
dont	dont	PRI
le	le	DETDMS
visage	visage	NCMS
était	être	VINDI3S
caché	cacher	VPARPMS
à	à	PREP
demi	demi	ADV
par	par	PREP
le	le	DETDMS
capuchon	capuchon	NCMS
de	de	PREP
la	le	DETDFS
pelisse	pelisse	NCFS
,	,	PCTFAIB
fut	être	VINDPS3S
regardée	regarder	VPARPFS
curieusement	curieusement	ADV
.	.	PCTFORTE
Eh	eh	INT
!	!	PCTFAIB
c'	ce	PDS
est	être	VINDP3S
la	le	DETDFS
Chantegreil	Chantegreil	NPI
,	,	PCTFAIB
dit	dire	VINDPS3S
un	un	DETIMS
homme	homme	NCMS
du	de le	DETDMS
faubourg	faubourg	NCMS
,	,	PCTFAIB
la	le	DETDFS
nièce	nièce	NCFS
de	de	PREP
Rébufat	Rébufat	NPI
,	,	PCTFAIB
le	le	DETDMS
méger	méger	NCMS
du	de le	DETDMS
Jas	jas	NCSIG
-Meiffren	Meiffren	NPI
.	.	PCTFORTE
D'	de	PREP
où	où	PRI
sors	sortir	VINDP2S
-tu	tu	PPER2S
donc	donc	COO
,	,	PCTFAIB
coureuse	coureur	NCFS
!	!	PCTFAIB
cria	crier	VINDPS3S
une	un	DETIFS
autre	autre	ADJSIG
voix	voix	NCFIN
.	.	PCTFORTE
Silvère	Silvère	NPMS
,	,	PCTFAIB
gris	gris	ADJMIN
d'	de	PREP
enthousiasme	enthousiasme	NCMS
,	,	PCTFAIB
n'	ne	ADV
avait	avoir	VINDI3S
pas	pas	ADV
songé	songer	VPARPMS
à	à	PREP
la	le	DETDFS
singulière	singulier	ADJFS
figure	figure	NCFS
que	que	PRI
ferait	faire	VCONP3S
son	son	DETPOSS
amoureuse	amoureux	NCFS
devant	devant	PREP
les	le	DETDPIG
plaisanteries	plaisanterie	NCFP
certaines	certain	ADJFP
des	un	DETDPIG
ouvriers	ouvrier	NCMP
.	.	PCTFORTE
Miette	miette	NCFS
,	,	PCTFAIB
confuse	confus	ADJFS
,	,	PCTFAIB
le	le	PPER3S
regardait	regarder	VINDI3S
comme	comme	SUB
pour	pour	PREP
implorer	implorer	VINF
aide	aide	NCSIG
et	et	COO
secours	secours	NCMIN
.	.	PCTFORTE
Mais	mais	COO
,	,	PCTFAIB
avant	avant	PREP
même	même	ADV
qu'	que	ADV
il	il	PPER3S
eût	avoir	VSUBI3S
pu	pouvoir	VPARPMS
ouvrir	ouvrir	VINF
les	le	DETDPIG
lèvres	lèvre	NCFP
,	,	PCTFAIB
une	un	DETIFS
nouvelle	nouveau	ADJFS
voix	voix	NCFIN
s'	se	PPER3S
éleva	élever	VINDPS3S
du	du	DETDMS
groupe	groupe	NCMS
,	,	PCTFAIB
disant	dire	VPARPRES
avec	avec	PREP
brutalité	brutalité	NCFS
:	:	PCTFORTE
Son	son	DETPOSS
père	père	NCMS
est	être	VINDP3S
au	à le	DETDMS
bagne	bagne	NCMS
,	,	PCTFAIB
nous	nous	PPER1P
ne	ne	ADV
voulons	vouloir	VINDP1P
pas	pas	ADV
avec	avec	PREP
nous	nous	PPER1P
la	le	DETDFS
fille	fille	NCFS
d'	de	PREP
un	un	DETIMS
voleur	voleur	NCMS
et	et	COO
d'	de	PREP
un	un	DETIMS
assassin	assassin	NCMS
.	.	PCTFORTE
Miette	miette	NCFS
pâlit	pâlir	VINDPS3S
affreusement	affreusement	ADV
.	.	PCTFORTE
Vous	vous	PPER2P
mentez	mentir	VINDP2P
,	,	PCTFAIB
murmura	murmurer	VINDPS3S
-t	t	NCFS
-elle	elle	PPER3S
;	;	PCTFORTE
si	si	SUB
mon	mon	DETPOSS
père	père	NCMS
a	avoir	VINDP3S
tué	tuer	VPARPMS
,	,	PCTFAIB
il	il	PPER3S
n'	ne	ADV
a	avoir	VINDP3S
pas	pas	ADV
volé	voler	VPARPMS
.	.	PCTFORTE
Et	et	COO
comme	comme	SUB
Silvère	Silvère	NPHSIG
serrait	serrer	VINDI3S
les	le	DETDPIG
poings	poing	NCMP
,	,	PCTFAIB
plus	plus	ADV
pâle	pâle	ADJSIG
et	et	COO
plus	plus	ADV
frémissant	frémissant	ADJMS
qu'	que	ADV
elle	elle	PPER3S
:	:	PCTFORTE
Laisse	laisse	NCFS
,	,	PCTFAIB
reprit	reprendre	VINDPS3S
-elle	elle	PPER3S
,	,	PCTFAIB
ceci	ceci	PDS
me	me	PPER1S
regarde	regarder	VINDP1S
...	...	PCTFORTE
Puis	puis	COO
se	se	PPER3S
retournant	retourner	VPARPRES
vers	vers	PREP
le	le	DETDMS
groupe	groupe	NCMS
,	,	PCTFAIB
elle	elle	PPER3S
répéta	répéter	VINDPS3S
avec	avec	PREP
éclat	éclat	NCMS
:	:	PCTFORTE
Vous	vous	PPER2P
mentez	mentir	VINDP2P
,	,	PCTFAIB
vous	vous	PPER2P
mentez	mentir	VINDP2P
!	!	PCTFAIB
il	il	PPER3S
n'	ne	ADV
a	avoir	VINDP3S
jamais	jamais	ADV
pris	prendre	VPARPMS
un	un	DETIMS
sou	sou	NCMS
à	à	PREP
personne	personne	PISIG
.	.	PCTFORTE
Vous	vous	PPER2P
le	le	PPER3S
savez	savoir	VINDP2P
bien	bien	ADV
.	.	PCTFORTE
Pourquoi	pourquoi	SUB
l'	le	PPER3S
insultez	insulter	VINDP2P
-vous	vous	PPER2P
quand	quand	SUB
il	il	PPER3S
ne	ne	ADV
peut	pouvoir	VINDP3S
être	être	VINF
là	là	ADV
?	?	PCTFORTE
Elle	elle	PPER3S
s'	se	PPER3S
était	être	VINDI3S
redressée	redresser	VPARPFS
,	,	PCTFAIB
superbe	superbe	ADJSIG
de	de	PREP
colère	colère	NCFS
.	.	PCTFORTE
Sa	son	DETPOSS
nature	nature	NCFS
ardente	ardent	ADJFS
,	,	PCTFAIB
à	à	PREP
demi	demi	ADV
sauvage	sauvage	ADJSIG
,	,	PCTFAIB
paraissait	paraître	VINDI3S
accepter	accepter	VINF
avec	avec	PREP
assez	assez	ADV
de	de	PREP
calme	calme	ADJSIG
l'	le	DETDFS
accusation	accusation	NCFS
de	de	PREP
meurtre	meurtre	NCMS
;	;	PCTFORTE
mais	mais	COO
l'	le	DETDFS
accusation	accusation	NCFS
de	de	PREP
vol	vol	NCMS
l'	le	PPER3S
exaspérait	exaspérer	VINDI3S
.	.	PCTFORTE
On	on	PPER3S
le	le	PPER3S
savait	savoir	VINDI3S
,	,	PCTFAIB
et	et	COO
c'	ce	PDS
est	être	VINDP3S
pourquoi	pourquoi	SUB
la	le	DETDFS
foule	foule	NCFS
lui	lui	PPER3S
jetait	jeter	VINDI3S
souvent	souvent	ADV
cette	ce	DETDEM
accusation	accusation	NCFS
à	à	PREP
la	le	DETDFS
face	face	NCFS
,	,	PCTFAIB
par	par	PREP
méchanceté	méchanceté	NCFS
bête	bête	ADJSIG
.	.	PCTFORTE
L'	le	DETDMS
homme	homme	NCMS
qui	qui	PRI
venait	venir	VINDI3S
d'	de	PREP
appeler	appeler	VINF
son	son	DETPOSS
père	père	NCMS
voleur	voleur	ADJMS
n'	ne	ADV
avait	avoir	VINDI3S
,	,	PCTFAIB
d'	de	PREP
ailleurs	ailleurs	ADV
,	,	PCTFAIB
répété	répéter	VPARPMS
que	que	SUB
ce	ce	PDS
qu'	que	ADV
il	il	PPER3S
entendait	entendre	VINDI3S
dire	dire	VINF
depuis	depuis	PREP
des	de le	DETDPIG
années	année	NCFP
.	.	PCTFORTE
Devant	devant	PREP
l'	le	DETDFS
attitude	attitude	NCFS
violente	violent	ADJFS
de	de	PREP
l'	le	DETDMS
enfant	enfant	NCSIG
,	,	PCTFAIB
les	le	DETDPIG
ouvriers	ouvrier	NCMP
ricanèrent	ricaner	VINDPS3P
.	.	PCTFORTE
Silvère	Silvère	NPMS
serrait	serrer	VINDI3S
toujours	toujours	ADV
les	le	DETDPIG
poings	poing	NCMP
.	.	PCTFORTE
La	le	DETDFS
chose	chose	NCFS
allait	aller	VINDI3S
mal	mal	ADV
tourner	tourner	VINF
,	,	PCTFAIB
lorsqu'	lorsque	SUB
un	un	DETIMS
chasseur	chasseur	NCMS
de	de	PREP
la	le	DETDFS
Seille	seille	NCFS
,	,	PCTFAIB
qui	qui	PRI
s'	se	PPER3S
était	être	VINDI3S
assis	asseoir	VPARPMS
sur	sur	PREP
un	un	DETIMS
tas	tas	NCMIN
de	de	PREP
pierres	pierre	NCFP
,	,	PCTFAIB
au	à le	DETDMS
bord	bord	NCMS
de	de	PREP
la	le	DETDFS
route	route	NCFS
,	,	PCTFAIB
en	en	PREP
attendant	attendre	VPARPRES
qu'	que	SUB
on	on	PPER3S
se	se	PPER3S
remît	remettre	VSUBI3S
en	en	PREP
marche	marche	NCFS
,	,	PCTFAIB
vint	venir	VINDPS3S
au	à le	DETDMS
secours	secours	NCMIN
de	de	PREP
la	le	DETDFS
jeune	jeune	ADJSIG
fille	fille	NCFS
.	.	PCTFORTE
La	le	DETDFS
petite	petit	NCFS
a	avoir	VINDP3S
raison	raison	NCFS
,	,	PCTFAIB
dit	dire	VINDP3S
-il	il	PPER3S
.	.	PCTFORTE
Chantegreil	Chantegreil	NPI
était	être	VINDI3S
un	un	PIMS
des	de le	DETDPIG
nôtres	nôtre	PP
.	.	PCTFORTE
Je	je	PPER1S
l'	le	PPER3S
ai	avoir	VINDP1S
connu	connaître	VPARPMS
.	.	PCTFORTE
Jamais	jamais	ADV
on	on	PPER3S
n'	ne	ADV
a	avoir	VINDP3S
bien	bien	ADV
vu	voir	VPARPMS
clair	clair	ADJMS
dans	dans	PREP
son	son	DETPOSS
affaire	affaire	NCFS
.	.	PCTFORTE
Moi	moi	PPER1S
,	,	PCTFAIB
j'	je	PPER1S
ai	avoir	VINDP1S
toujours	toujours	ADV
cru	croire	VPARPMS
à	à	PREP
la	le	DETDFS
vérité	vérité	NCFS
de	de	PREP
ses	son	DETPOSS
déclarations	déclaration	NCFP
devant	devant	PREP
les	le	DETDPIG
juges	juge	NCMP
.	.	PCTFORTE
Le	le	DETDMS
gendarme	gendarme	NCMS
qu'	que	SUB
